Year	Country	Latitude	Longitude	Focal Depth (km)	Mag	Total Deaths	Total Missing	Total Injuries	Total Houses Destroyed	Total Houses Damaged
1943	INDONESIA	-1	101	50	7.6	0	0	0	0	0
1943	TURKEY	40.6	30.5	15	6.2	0	0	0	0	0
1943	AUSTRALIA	-53	159	25	7.9	0	0	0	0	0
1943	ECUADOR	-2.1	-80.5	100	6.9	0	0	0	0	0
1943	INDONESIA	-6	134.5	60	7.6	0	0	0	0	0
1943	KERMADEC ISLANDS (NEW ZEALAND)	-30	-177	60	7.6	0	0	0	0	0
1943	PHILIPPINES	7.5	128	33	8.1	0	0	0	0	0
1943	USA TERRITORY	19.3	-67.5	0	7.8	0	0	0	0	0
1943	NEW CALEDONIA	-22	171	50	7.5	0	0	0	0	0
1943	TURKEY	40.8	30.5	0	6.6	0	0	0	0	0
1943	CHINA	30.6	104.1	0	5	0	0	0	0	0
1943	MEXICO	16.7	-101.5	60	7.5	0	0	0	0	0
1943	RUSSIA	54.9	156.8	350	7.6	0	0	0	0	0
1943	MYANMAR (BURMA)	21.5	93.5	0	7.2	0	0	0	0	0
1943	CHINA	39.3	73.3	0	6.5	0	0	0	0	0
1944	CHINA	44	84	0	7.2	3	0	0	0	0
1944	TURKEY	39.4	26.7	0	6.8	30	0	0	5500	0
1944	JAPAN	34	137.1	30	8.1	1223	0	2135	29205	46950
1944	ARGENTINA	-31.5	-68.5	50	7.8	0	0	0	0	0
1944	VANUATU	-19	169	170	7.5	0	0	0	0	0
1944	USA	44.957	-74.723	12	5.6	0	0	0	0	0
1944	INDONESIA	-8.5	123.5	220	7.5	0	0	0	0	0
1944	NEW CALEDONIA	-22.5	172	120	7.5	0	0	0	0	0
1944	CHINA	39.1	75	0	7	0	0	0	0	0
1944	PAPUA NEW GUINEA	-2.5	152.8	60	7.5	0	0	0	0	0
1944	TURKEY	38.9	29.3	33	6	0	0	0	0	0
1944	GREECE	36.7	22.5	8	5.7	0	0	0	0	0
1944	TURKEY	41.4	32.7	33	7.4	0	0	0	0	0
1945	CHINA	39.5	119	0	6.3	17	0	30	0	0
1945	JAPAN	34.7	137.2	0	7.1	2306	0	896	7221	0
1945	PAKISTAN	24.5	63	15	8	4000	0	0	0	0
1945	TURKEY	37.4	35.8	60	6	0	0	0	0	0
1945	CAMEROON	2.5	15.6	0	6.2	0	0	0	0	0
1945	UGANDA	0	32	0	6	0	0	0	0	0
1945	PAPUA NEW GUINEA	-6	150	60	7.8	0	0	0	0	0
1946	CHILE	-26.5	-70.5	60	7.9	2	0	0	0	0
1946	TAIWAN	23.1	120.3	0	6.8	58	0	384	700	0
1946	DOMINICAN REPUBLIC	19.5	-69.5	15	7.5	75	0	0	0	0
1946	USA	53.492	-162.832	15	8.6	167	0	0	0	0
1946	ALGERIA	35.75	5	0	5.6	264	0	0	0	0
1946	TURKMENISTAN	39.3	55.4	26	7.5	400	0	0	0	0
1946	JAPAN	33	135.6	20	8.1	1362	0	0	11661	0
1946	DOMINICAN REPUBLIC	19.25	-69	15	7.9	1790	0	0	0	0
1946	PERU	-14	-76.25	70	7	0	0	0	0	0
1946	PERU	-8.5	-77.5	12	7.3	0	0	0	0	0
1946	CANADA	49.87	-124.92	0	7.3	0	0	0	0	0
1946	MYANMAR (BURMA)	23.9	96.2	60	7.8	0	0	0	0	0
1946	KYRGYZSTAN	41.5	72.5	35	7.6	0	0	0	0	0
1946	PAPUA NEW GUINEA	-4.5	153.5	60	7.7	0	0	0	0	0
1946	TURKEY	38.2	31.8	60	5.6	0	0	0	0	0
1946	MYANMAR (BURMA)	23.9	96.2	60	7.5	0	0	0	0	0
1946	TURKEY	39.3	41.2	0	5.9	0	0	0	0	0
1947	CHINA	25	102	0	5.5	1	0	0	0	0
1947	ALGERIA	37	8	0	5.3	3	0	0	0	0
1947	GREECE	37	22	28	6.9	3	0	20	7000	0
1947	CHINA	26.7	102.9	0	5.5	3	0	0	0	0
1947	CHINA	33.3	99.5	0	7.7	0	0	0	0	0
1947	JAPAN	43.8	141	33	7	0	0	0	0	0
1947	PAPUA NEW GUINEA	-6.5	148.5	33	7.3	0	0	0	0	0
1947	NEW ZEALAND	-38.42	178.88	12	6.9	0	0	0	0	0
1947	NEW ZEALAND	-38.85	178.87	12	7.1	0	0	0	0	0
1947	PERU	-10.5	-75	100	7.3	0	0	0	0	0
1947	PAKISTAN	25.5	63	0	7.6	0	0	0	0	0
1947	IRAN	33.4	58.7	0	6.9	0	0	0	0	0
1947	INDIA	28.5	94	60	7.9	0	0	0	0	0
1947	USA	35	-116.6	0	6.4	0	0	0	0	0
1948	GREECE	38.532	20.425	15	6.5	2	0	45	244	2022
1948	CHINA	27.4	104	0	5.8	3	0	75	0	0
1948	MEXICO	22	-106	0	6.9	4	0	21	0	0
1948	PHILIPPINES	10.5	122	33	8.3	74	0	0	0	0
1948	CHINA	26.4	99.7	0	6.8	110	0	100	600	0
1948	CHINA	29.5	100.5	18	7.3	800	0	200	600	0
1948	JAPAN	36.5	136	20	7.3	5131	0	11000	63000	18543
1948	TURKMENISTAN	37.95	58.32	18	7.3	110000	0	0	0	0
1948	TONGA	-21	-174	25	7.9	0	0	0	0	0
1948	USA	54.5	-161	25	7.5	0	0	0	0	0
1948	INDONESIA	-3	127.5	60	7.9	0	0	0	0	0
1948	CHILE	-22.5	-69	100	7	0	0	0	0	0
1948	GREECE	35.8	27.19	60	7.1	0	0	0	0	0
1948	PERU	-13.1	-76.2	55	6.8	0	0	0	0	0
1948	INDONESIA	6	95	0	6.2	0	0	0	0	0
1948	GREECE	38.5	20.5	33	6.4	0	0	0	0	0
1948	CHINA	37.2	121.8	0	6	0	0	0	0	0
1948	PERU	-17.4	-71	60	7.1	0	0	0	0	0
1949	CHILE	-54	-71	33	7.8	1	0	0	0	0
1949	CHILE	-54	-71	33	7.8	3	0	0	0	0
1949	GREECE	38.718	26.482	15	6.5	7	0	435	534	5501
1949	USA	47.167	-122.617	0	7	8	0	0	0	0
1949	PHILIPPINES	17	121.63	0	7.2	16	0	0	0	0
1949	CHINA	42	84	0	7.3	21	0	17	1010	0
1949	CHILE	-38	-73.5	70	7.3	57	0	0	0	0
1949	TAJIKISTAN	39.2	70.8	16	7.4	3500	0	0	0	0
1949	INDONESIA	5	95	0	6.7	0	0	0	0	0
1949	TONGA	-19.103	-174.378	65	6.9	0	0	0	0	0
1949	PHILIPPINES	17	121.5	80	6.4	0	0	0	0	0
1949	CHINA	30.3	102.5	0	5.5	0	0	0	0	0
1949	IRAN	27.28	56.46	100	6.3	0	0	0	0	0
1949	CANADA	53.62	-133.27	25	8.1	0	0	0	0	0
1949	AFGHANISTAN	36	70.5	230	7.5	0	0	0	0	0
1949	ECUADOR	-1.4	-78.5	10	6.7	0	0	0	0	0
1949	ECUADOR	-1.5	-78.2	60	6.8	0	0	0	0	0
1949	TURKEY	39	40.5	0	6.8	0	0	0	0	0
1949	PAPUA NEW GUINEA	-5.5	154	60	7.5	0	0	0	0	0
1950	CHILE	-23.5	-67.5	100	8	1	0	0	0	0
1950	INDONESIA	-3.8	128.3	60	7.6	1	0	0	0	0
1950	PERU	-14.25	-75.75	80	7	4	0	12	0	0
1950	INDONESIA	-6	113	0	6.5	16	0	50	50	0
1950	VENEZUELA	9.71	-69.819	15	6.4	100	0	0	0	0
1950	INDIA	28.5	96.5	33	8.6	1530	0	0	0	0
1950	VANUATU	-18.25	167.5	60	7.8	0	0	0	0	0
1950	PERU	-15	-69.5	250	7.9	0	0	0	0	0
1950	NEW ZEALAND	-37.8	177.2	0	5.8	0	0	0	0	0
1950	MEXICO	16.5	-100.4	0	6.8	0	0	0	0	0
1950	PERU	-13.5	-72	0	6	0	0	0	0	0
1950	GUATEMALA	14.31	-91.917	65	7.5	0	0	0	0	0
1950	TONGA	-19.5	-176	200	7.7	0	0	0	0	0
1950	SOLOMON ISLANDS	-10	159.5	33	7.3	0	0	0	0	0
1950	RUSSIA	46	144	340	7.9	0	0	0	0	0
1950	COSTA RICA	11	-85	60	7.7	0	0	0	0	0
1950	CHILE	-53.5	-71.5	33	7	0	0	0	0	0
1950	INDONESIA	-6.5	129.5	60	8.1	0	0	0	0	0
1950	CHINA	23.5	103.1	0	5.8	0	0	0	320	0
1950	CHINA	21.7	100.1	0	7	0	0	0	0	0
1950	ECUADOR	-1.5	-78.2	60	6.8	0	0	0	0	0
1950	MEXICO	16.48	-98.22	50	7.5	0	0	0	0	0
1951	TAIWAN	22.9	121.5	0	7.5	17	0	250	0	0
1951	TAIWAN	23.8	121.7	21	7.3	68	0	586	2382	0
1951	EL SALVADOR	13	-87.8	100	6.5	1100	0	0	0	0
1951	PAPUA NEW GUINEA	-3.252	142.238	25	6.1	0	0	0	0	0
1951	NICARAGUA	13	-87.5	100	5.5	0	0	0	0	0
1951	CHINA	26.7	100	0	6.3	0	0	0	29890	0
1951	NICARAGUA	13	-87.5	100	6	0	0	0	0	0
1951	USA	19.7	-156	60	6.9	0	0	0	0	0
1951	TURKEY	40.8	33.4	0	6.7	0	0	0	0	0
1951	INDIAN OCEAN	-34	57	25	7.9	0	0	0	0	0
1951	PERU	-15	-69.5	250	7.9	0	0	0	0	0
1951	MEXICO	16.1	-96.8	50	6.2	0	0	0	0	0
1951	PHILIPPINES	9.5	127.3	0	7.8	0	0	0	0	0
1951	CHINA	31.1	91.4	25	7.5	0	0	0	0	0
1952	USA	35.333	-118.917	16	5.8	2	0	0	90	0
1952	USA	35	-119.017	16	7.7	12	0	0	0	0
1952	JAPAN	42.15	143.85	45	8.1	33	0	572	2422	0
1952	RUSSIA	52.755	160.057	22	9	10000	0	0	0	0
1952	CHINA	22.7	99.8	0	6.5	0	0	0	10	0
1952	CHINA	39	112.7	0	5.5	0	0	0	5043	0
1952	CHINA	28.3	102.2	0	6.8	0	0	0	4196	0
1952	CHINA	22.9	99.7	0	5.8	0	0	0	60	0
1952	PERU	-14.1	-69.9	0	7.5	0	0	0	0	0
1952	VANUATU	-18.5	169.25	260	6.8	0	0	0	0	0
1952	TURKEY	36.5	35.5	0	5	0	0	0	0	0
1952	PHILIPPINES	9.5	127.25	0	7.8	0	0	0	0	0
1952	JAPAN	41.7	142.5	0	7.1	0	0	17	113	0
1952	TURKEY	39.9	41.7	0	6	0	0	0	0	0
1953	JAPAN	34	141.7	60	7.4	1	0	0	0	0
1953	PERU	-3.4	-80.6	30	7.4	6	0	20	200	0
1953	FIJI	-18.3	178.2	33	6.4	7	0	12	0	0
1953	CHILE	-36.5	-72.5	60	7.6	9	0	26	0	0
1953	CYPRUS	35	32.5	0	6.5	40	0	100	500	0
1953	GREECE	38.3	20.8	0	7.2	476	0	2412	27773	0
1953	TURKEY	40	27.5	0	7.5	1070	0	0	0	0
1953	VANUATU	-19	169	223	7.5	0	0	0	0	0
1953	PERU	-12	-77.5	0	5.5	0	0	0	0	0
1953	HAITI	18.4	-73.4	0	5.7	0	0	0	0	0
1953	IRAN	35.4	55.1	0	6.4	0	0	0	0	0
1953	GREECE	38.1	20.6	33	6.8	0	0	0	0	0
1953	CHINA	24.2	103.2	0	5	0	0	0	0	0
1953	DOMINICAN REPUBLIC	19.8	-70.7	33	7.2	0	0	0	0	0
1953	PAPUA NEW GUINEA	-4.449	152.868	35	7.4	0	0	0	0	0
1953	CHILE	-22.1	-68.7	128	7.4	0	0	0	0	0
1953	RUSSIA	50	156.5	0	5.8	0	0	0	0	0
1953	SOLOMON ISLANDS	-13.189	166.516	35	7.5	0	0	0	0	0
1954	PHILIPPINES	13	123.9	0	6.8	13	0	101	0	0
1954	ALGERIA	36.283	1.467	0	6.7	1243	0	5000	20000	0
1954	INDONESIA	-8	119	0	6.8	0	0	0	0	0
1954	USA	39.3	-118.2	0	7	0	0	0	0	0
1954	USA	39.4	-118.5	0	6.8	0	0	0	0	0
1954	GREECE	39.3	22.2	0	7	0	0	0	0	0
1954	MEXICO	17.3	-92.6	100	6.2	0	0	0	0	0
1954	GREECE	39.8	22.1	0	7	0	0	0	0	0
1954	ALGERIA	36	1.5	0	6.7	0	0	0	0	0
1954	CHINA	31.6	116.6	0	5.3	0	0	0	0	0
1954	ATLANTIC OCEAN	29.5	-29.5	0	7.5	0	0	0	0	0
1954	CHINA	39	101.3	0	7.3	0	0	0	0	0
1954	JAPAN	38.9	142.2	30	6.5	0	0	0	0	0
1954	USA	39.6	-118.5	0	6.8	0	0	0	0	0
1954	MYANMAR (BURMA)	24.5	95.3	180	7.4	0	0	0	0	0
1954	IRAN	27.5	52	0	5	0	0	0	0	0
1954	ALGERIA	36	1.5	0	6	0	0	0	0	0
1954	CHINA	38.8	104.2	0	7	0	0	0	542	0
1954	CHINA	29.4	104.8	0	5	0	0	0	0	0
1954	AUSTRALIA	-34.9	138.7	4	5.4	0	0	0	0	0
1954	SPAIN	37	-3.5	640	7	0	0	0	0	0
1955	CHILE	-30	-72	30	7.1	1	0	0	0	0
1955	GREECE	39.4	23.1	33	6.2	8	0	149	459	8352
1955	EGYPT	32.2	29.6	0	6.3	22	0	12	0	0
1955	CHINA	30	101.8	0	7.5	39	0	113	500	0
1955	COSTA RICA	10	-84.5	0	5.8	0	0	0	0	0
1955	GREECE	39.5	23	0	6	0	0	0	0	0
1955	TURKEY	37.5	27	0	6.8	0	0	0	0	0
1955	CHINA	26.5	101.1	0	6	0	0	0	4524	0
1955	CHINA	44.2	83.6	0	6.5	0	0	0	0	0
1955	INDIA	6.5	94	0	7.3	0	0	0	0	0
1955	NICARAGUA	13	-87	0	6.2	0	0	0	0	0
1955	CHINA	26.6	101.8	10	6.8	0	0	0	15000	0
1955	COLOMBIA	0.2	-78.4	0	6	0	0	0	0	0
1955	CHINA	39.9	74.6	0	7	0	0	0	0	0
1955	SOLOMON ISLANDS	-6.9	155.7	33	6.5	0	0	0	0	0
1955	PHILIPPINES	8.1	123.2	96	7.6	0	0	0	0	0
1955	CHINA	29.9	101.4	0	5.8	0	0	0	0	0
1955	PAPUA NEW GUINEA	-5.1	152.924	35	7.3	0	0	0	0	0
1955	KERMADEC ISLANDS (NEW ZEALAND)	-28	-175.5	60	7.8	0	0	0	0	0
1956	GREECE	36.9	26	20	7.8	56	0	0	0	0
1956	INDIA	23.278	70.107	15	6	156	0	0	0	0
1956	MEXICO	17	-99.5	0	6.5	0	0	0	0	0
1956	ECUADOR	-0.5	-80.5	0	7.3	0	0	0	0	0
1956	FIJI	-15	-179	430	7.5	0	0	0	0	0
1956	MYANMAR (BURMA)	22.2	95.7	39	7	0	0	0	0	0
1956	TONGA	-26	-175.241	35	7	0	0	0	0	0
1956	TURKEY	40	30.5	0	5.8	0	0	0	0	0
1956	CHINA	37.8	114	0	5	0	0	0	0	0
1956	HUNGARY	47.5	19.3	0	5.8	0	0	0	0	0
1956	AFGHANISTAN	35.1	67.5	60	7.6	0	0	0	0	0
1956	CHINA	40.5	115.5	0	5	0	0	0	0	0
1956	RUSSIA	46	150.5	110	7.6	0	0	0	0	0
1956	NICARAGUA	12.2	-86.7	0	7.3	0	0	0	0	0
1956	LEBANON	35.5	35.5	0	5.8	0	0	0	0	0
1956	INDONESIA	-5.5	130	190	7.5	0	0	0	0	0
1956	GREECE	39.5	23	0	5.7	0	0	0	0	0
1956	CHILE	-19	-70	0	7.1	0	0	0	0	0
1956	GREECE	36.8	25.2	0	6.8	0	0	0	0	0
1956	JAPAN	33.8	138.8	50	6.5	0	0	0	0	0
1956	IRAN	27.2	54.4	0	6.8	0	0	0	0	0
1956	NEW ZEALAND	-38.9	175.7	0	5.3	0	0	0	0	0
1957	GREECE	39.4	22.8	0	7	2	0	0	0	0
1957	USA	51.292	-175.629	33	8.6	2	0	1	0	0
1957	TAIWAN	23.9	121.6	69	7.2	11	0	0	0	0
1957	TUNISIA	36.2	8.9	0	5.6	13	0	96	0	0
1957	TURKEY	36.4	28.55	41	7.1	18	0	92	3000	5000
1957	MONGOLIA	45.5	99.5	33	8.1	30	0	0	0	0
1957	MEXICO	16.5	-99.1	25	7.9	65	0	0	0	0
1957	INDONESIA	-1.5	137	33	7.3	0	0	0	0	0
1957	PHILIPPINES	5.5	127.5	60	7.6	0	0	0	0	0
1957	SOLOMON ISLANDS	-12.3	166.7	120	7.8	0	0	0	0	0
1957	TURKEY	40.7	30.9	0	7.1	0	0	0	0	0
1957	IRAN	36.1	52.7	14	6.6	0	0	0	0	0
1957	INDONESIA	-4.6	107.1	600	7.5	0	0	0	0	0
1957	IRAN	34.3	47.8	0	7.1	0	0	0	0	0
1957	RUSSIA	56.2	116.4	15	7.6	0	0	0	0	0
1957	BOLIVIA	-21	-66	170	7.8	0	0	0	0	0
1957	INDONESIA	-2	116	0	6	0	0	0	0	0
1957	TURKEY	36.31	28.62	40	6.9	0	0	0	0	0
1957	CHILE	-23.5	-71.5	33	7	0	0	0	0	0
1957	SAMOA	-15.5	-173	60	7.5	0	0	0	0	0
1957	USA	55	-165.2	0	7.5	0	0	0	0	0
1957	FIJI	-20.4	-178.5	549	7.5	0	0	0	0	0
1957	CHINA	38	112.5	0	5	0	0	0	0	0
1958	USA	58.37	-136.665	35	7.8	5	0	0	0	0
1958	INDONESIA	-9.5	112.5	100	6.7	8	0	1856	95	206
1958	COLOMBIA	1.5	-79.5	60	7.6	115	0	46	0	0
1958	PACIFIC OCEAN	-50	-115	0	6.1	0	0	0	0	0
1958	CHILE	-33.785	-70.112	0	6.8	0	0	0	0	0
1958	JAPAN	25	125	70	7.5	0	0	0	0	0
1958	RUSSIA	44.53	148.54	40	8.3	0	0	0	0	0
1958	INDONESIA	-4.5	104	200	6.7	0	0	0	0	0
1958	PERU	-13.5	-69	620	7.5	0	0	0	0	0
1958	CHINA	31.5	104	0	6.2	0	0	0	0	0
1958	IRAN	34.4	47.9	20	6.7	0	0	0	0	0
1958	CHINA	22.5	109.5	0	5.8	0	0	0	0	0
1958	PERU	-16.5	-72	60	7.3	0	0	0	0	0
1959	RUSSIA	52.5	159.5	60	8.2	1	0	13	0	0
1959	BOLIVIA	-20.369	-68	112	7.5	1	0	0	0	0
1959	TAIWAN	24.78	122.7	150	7.5	2	0	0	0	0
1959	TAIWAN	22.18	121.13	60	7	16	0	63	0	0
1959	MEXICO	18.3	-94.4	0	6.9	25	0	200	0	0
1959	USA	44.712	-111.215	5	7.7	28	0	0	0	0
1959	CHINA	35.6	110.9	0	5.4	0	0	0	43	0
1959	TURKEY	37	28.7	0	6.3	0	0	0	0	0
1959	RUSSIA	53.9	160.5	15	7	0	0	0	0	0
1959	ALBANIA	40.9	19.8	11	6.1	0	0	0	0	0
1959	TURKEY	39.1	41.6	0	6.2	0	0	0	0	0
1959	RUSSIA	44.3	149	40	5	0	0	0	0	0
1959	CHINA	31.8	115.3	0	5	0	0	0	0	0
1959	RUSSIA	45.89	151.11	70	7.2	0	0	0	0	0
1959	KERMADEC ISLANDS (NEW ZEALAND)	-28.5	-177	60	7.7	0	0	0	0	0
1959	ALGERIA	36.4	2.6	0	5.5	0	0	0	0	0
1959	SOLOMON ISLANDS	-7.5	156	0	7.3	0	0	0	0	0
1959	MEXICO	17	-96.3	100	6.8	0	0	0	0	0
1959	FRANCE	44	6.8	0	5.5	0	0	0	0	0
